,id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom,Count of Amenities,price,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,license
0,528022,Somewhere Else,2594559,Els,Westerpark,52.39114,4.88846,Private room,2,1.5,20,100,4,16,29,212,2,30,248,4.85,0363 9289 A94D 5C21 A579
1,2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1.5,44,59,6,27,27,27,3,28,314,4.89,0363 5F3A 5684 6750 D14D
2,20168,Studio with private bathroom in the centre 1,59484,Alexander,Centrum-Oost,52.36407,4.89393,Private room,2,1,16,106,0,0,0,0,1,365,339,4.44,0363 CBB3 2C10 0C2A 1E29
3,27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,Centrum-West,52.38761,4.89188,Private room,2,1.5,52,140,0,17,32,40,2,356,243,4.94,0363 974D 4986 7411 88D8
4,28871,Comfortable double room,124245,Edwin,Centrum-West,52.36775,4.89092,Private room,2,1,20,75,0,3,8,91,2,1825,454,4.88,0363 607B EA74 0BD8 2F6F
5,29051,Comfortable single room,124245,Edwin,Centrum-Oost,52.36584,4.89111,Private room,1,1,20,55,0,4,11,142,2,730,602,4.79,0363 607B EA74 0BD8 2F6F
6,44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,1.5,32,240,0,0,0,0,3,730,44,4.72,0363 E76E F06A C1DD 172C
7,49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,Centrum-West,52.38028,4.89089,Entire home/apt,3,1,48,260,3,25,38,175,3,1125,451,4.92,0363 576A D827 5085 6B83
8,50523,B & B de 9 Straatjes (city center),231946,Raymond,Centrum-West,52.36811,4.88262,Private room,2,1,19,127,4,21,39,211,2,365,363,4.87,0363 22DC 0E52 B70B 0FB8
9,55868,Apartment near Museumplein (centre),264178,Cornelie,Zuid,52.35597,4.88512,Entire home/apt,4,1.5,22,149,1,2,2,31,3,21,95,4.86,0363 B5A3 5F63 B032 A320
10,62015,"Charming, beautifully & sunny place",301340,Jessica,Oud-Oost,52.36431,4.93122,Entire home/apt,2,1.5,25,120,0,0,0,0,2,6,36,4.91,0363 B090 499C D757 7F4F
11,80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,Centrum-West,52.37828,4.8944,Private room,1,1.5,29,113,14,14,14,14,3,1125,238,4.77,0363 4108 6EC3 C2FF 2493
12,82482,The Backroom - Central private appt,186729,Shawna,Centrum-West,52.36968,4.88122,Entire home/apt,4,1,54,119,4,16,24,224,2,28,958,4.5,0363 4ADE 41D8 0E67 1563
13,91535,Privat room and shared Houseboat Ramona centre,494281,Michiel,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,2,1.5,28,170,15,15,15,15,1,18,106,4.77,0363 74BA 2074 E0CF 1CB8
14,97221,Beautiful and spacious room,195859,Gianni,Slotervaart,52.34801,4.83639,Private room,2,1,14,61,3,14,30,288,2,8,256,4.59,0363 BCBA 6311 3268 DC8C
15,137026,Entire house with garden in De Pijp,670266,Ton & Fede,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4,2.5,50,265,1,1,1,24,2,1125,101,4.76,0363 67D6 8568 BA8A F738
16,155548,Apartment 2 minutes from Centrum!,748161,Maria,Oud-Oost,52.3642,4.92829,Entire home/apt,3,1.5,32,200,0,0,0,0,3,15,21,4.76,0363 A562 4D7E 4A91 60DF
17,162467,Modern app. with brand new design bathroom,776296,Nicole,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1,30,145,0,13,39,253,3,21,63,4.76,0363 C6C3 A2DC 89AC B72B
18,168769,"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Riks,Centrum-West,52.37956,4.89359,Private room,1,1.5,24,111,19,19,19,19,3,1124,277,4.59,0363 4108 6EC3 C2FF 2493
